37.236	34.088	34.189	32.352	32.268	30.569	35.301	38.253	40.255	44.992	
20.280	23.916	24.066	22.886	23.448	22.658	29.922	32.295	38.277	26.842	
14.161	14.878	15.744	17.438	17.437	11.745	21.836	24.788	15.726	8.212	
1.772	3.242	3.826	4.603	4.622	7.797	13.930	5.980	-1.665	-0.975	
-11.494	-2.533	-7.739	-3.909	-8.064	-4.681	-5.843	-10.439	-12.930	-9.532	
-19.996	-11.114	-6.310	-14.551	-13.964	-10.386	-24.705	-17.657	-19.824	-15.352	
-19.489	-13.480	-10.313	-10.370	-10.892	-11.931	-22.363	-22.532	-19.568	-16.361	
-21.052	-12.982	-14.510	-12.068	-14.459	-11.780	-28.047	-27.330	-19.057	-20.203	
-24.011	-16.248	-14.465	-11.346	-14.351	-16.350	-21.471	-19.964	-26.341	-21.512	
-24.919	-24.934	-15.762	-19.315	-20.602	-15.477	-25.852	-29.184	-24.732	-18.767	

82.174	94.064	94.242	94.364	94.779	95.189	96.143	96.484	96.957	94.414	
51.311	76.261	75.794	76.867	76.315	78.702	80.979	82.566	80.497	64.943	
34.167	55.682	56.841	57.618	57.940	62.433	66.442	65.924	50.243	36.601	
17.083	37.902	39.692	41.237	40.361	44.884	51.018	36.075	23.261	22.620	
1.805	20.168	21.323	23.132	25.142	26.190	20.203	6.943	7.659	8.445	
-5.569	9.208	10.687	12.761	14.830	15.150	-2.269	-1.486	-0.856	0.546	
-6.146	7.095	10.078	8.886	10.605	11.452	-3.317	-3.481	-2.680	-1.602	
-8.409	3.664	5.274	7.910	9.969	8.079	-6.152	-5.571	-5.398	-3.233	
-10.187	1.660	3.702	2.861	6.392	5.997	-8.092	-8.483	-5.691	-5.216	
-11.883	-1.309	-0.217	-0.109	2.406	1.473	-10.609	-10.907	-8.043	-7.024	
