38.053	35.755	34.408	34.011	32.969	32.093	34.963	39.244	42.319	43.996	
17.257	27.729	24.932	24.398	24.236	23.184	30.221	33.702	33.684	26.115	
7.274	14.446	14.039	15.273	15.109	14.738	23.705	23.568	17.280	6.921	
-1.932	4.208	6.127	4.487	3.668	9.034	14.594	3.603	-2.724	-1.653	
-12.296	-7.432	-5.356	-5.270	-6.529	-4.740	-6.939	-13.095	-13.953	-11.903	
-19.548	-12.635	-12.270	-12.816	-12.152	-11.437	-21.788	-19.116	-20.625	-16.155	
-21.074	-15.486	-12.869	-12.220	-10.126	-12.576	-24.378	-20.664	-21.446	-17.924	
-24.234	-16.776	-14.140	-11.890	-13.094	-13.095	-25.691	-25.925	-22.235	-20.981	
-23.807	-16.141	-14.191	-12.683	-11.716	-12.450	-25.934	-24.627	-23.316	-20.718	
-26.426	-15.781	-16.912	-15.227	-12.843	-16.830	-29.718	-28.683	-24.754	-21.936	

81.594	93.947	94.956	94.484	94.865	95.226	96.103	96.752	97.178	95.460	
50.749	73.872	77.005	76.434	76.132	77.052	82.148	81.392	80.758	66.155	
33.079	56.407	59.279	60.169	59.706	61.857	69.785	65.722	52.173	37.662	
19.431	38.916	40.849	41.328	41.718	48.852	51.149	37.238	24.256	22.209	
3.431	19.897	21.395	25.278	26.976	27.845	22.973	10.261	8.109	9.459	
-5.154	9.515	12.322	13.009	17.890	13.929	-0.870	-1.768	-1.858	1.577	
-6.549	7.672	9.702	8.868	10.340	13.834	-4.998	-2.863	-3.078	-1.248	
-9.868	7.065	4.634	7.852	10.278	6.685	-6.877	-5.730	-3.510	-2.405	
-11.634	4.785	4.560	4.852	4.072	5.926	-8.277	-5.321	-7.656	-6.494	
-12.511	-4.119	-1.213	2.421	4.690	5.330	-12.375	-8.165	-7.602	-6.333	
